Timestamp,Editor ou IDE que você usa para programar em Python a maior parte do tempo,Sistema operacional do computador que você usa ao programar aplicações Python,Outros editores ou IDE que você usou por 12 horas ou mais em 2012 (opcional)
1/2/2013 23:19:48,Emacs e derivados,GNU/Linux,
1/2/2013 23:20:37,vim,GNU/Linux,
1/2/2013 23:20:40,Spyder,GNU/Linux,"Aptana, Gedit, JEdit, Kate e derivados, NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows), vim"
1/2/2013 23:21:18,vim,GNU/Linux,
1/2/2013 23:24:12,vim,Mac OSX,"Eclipse + PyDev, Emacs e derivados, NotePad++ (software livre para Windows), Sublime Text"
1/2/2013 23:24:27,PyCharm,GNU/Linux,"Eclipse + PyDev, vim"
1/2/2013 23:25:16,vim,Mac OSX,Aptana
1/2/2013 23:25:30,Emacs e derivados,GNU/Linux,Netbeans
1/2/2013 23:26:38,vim,GNU/Linux,"Aptana, Eclipse + PyDev"
1/2/2013 23:27:42,PyCharm,Mac OSX,"Aptana, Eclipse + PyDev, PyCharm, Sublime Text"
1/2/2013 23:28:14,vim,GNU/Linux,"Aptana, Gedit"
1/2/2013 23:30:41,Emacs e derivados,GNU/Linux,Spyder
1/2/2013 23:31:22,vim,GNU/Linux,Gedit
1/2/2013 23:31:44,vim,GNU/Linux,"PyCharm, Sublime Text, Visual Studio"
